Category,English,EnURL,French,FrURL,Italian,ItURL,圖檔URL,中文,中文說明,version
Plant-based 植物性,Rosemary,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/rosemary_en.mp3,Romarin,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/rosemary_fr.mp3,Rosmarino,Rosemary_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/rosemary.jpg,迷迭香,迷迭香具有清新的草本風味和微微辛辣口感，常見用途包括調味肉類、湯品和烤物，為料理增添獨特風味。,
Plant-based 植物性,Thyme,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/thyme_en.mp3,Thym,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/thyme_fr.mp3,Timo,Thyme_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/thyme.jpg,百里香,百里香口感濃烈，具有獨特的香味，常見用途為調味料，能提升菜餚的風味。,
Plant-based 植物性,Tarragon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/tarragon_en.mp3,Estragon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/tarragon_fr.mp3,Dragoncello,Tarragon_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/tarragon.jpg,龍蒿,龍蒿具有清新的口感和淡淡的香味，常見用途是作為涼拌菜或炒菜的配料，提升菜餚的清爽風味。,
Plant-based 植物性,Chervil,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chervil_en.mp3,Cerfeuil,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chervil_fr.mp3,Cerfoglio,Chervil_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/chervil.jpg,法香,法香口感清新爽脆，風味獨特濃郁，常見用途為調味料或作為菜餚的配料，能提升料理的香氣和口感。,
Plant-based 植物性,Fennel,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fennel_en.mp3,Fenouil,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/fennel_fr.mp3,Finocchio,Fennel_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/fennel.jpg,茴香,茴香口感清爽，風味濃烈，常用於烹調肉類菜餚中，帶來獨特的香氣和味道。,
Plant-based 植物性,Garlic,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/garlic_en.mp3,Ail,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/garlic_fr.mp3,Aglio,Garlic_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/garlic.jpg,大蒜,大蒜的口感獨特鮮辣，風味濃厚且香氣濃郁，常見用途包括調味料、烹飪料和醃製食材。,
Plant-based 植物性,Lentils,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lentils_en.mp3,Lentilles,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lentils_fr.mp3,Lenticchie,Lentils_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/lentils.jpg,扁豆,扁豆口感細軟，風味清淡，常見用途包括煮湯、炒菜或做成紅燒料理。含有豐富蛋白質及礦物質，營養價值高。,
Plant-based 植物性,Chickpeas,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chickpeas_en.mp3,Pois chiches,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/chickpeas_fr.mp3,Ceci,Chickpeas_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/chickpeas.jpg,鷹嘴豆,鷹嘴豆口感濕潤且輕柔，帶有些許堅果香氣，風味濃郁，常見用途包括製作鷹嘴豆泥、沙拉或炒菜料。,
Plant-based 植物性,Saffron,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/saffron_en.mp3,Safran,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/saffron_fr.mp3,Zafferano,Saffron_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/saffron.jpg,藏紅花,藏紅花具有獨特的香氣和微苦的味道，常用於提升料理的風味，也被視為珍貴的香料之一。,
Plant-based 植物性,Broccoli,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/broccoli_en.mp3,Brocoli,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/broccoli_fr.mp3,Broccolo,Broccoli_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/broccoli.jpg,花椰菜,花椰菜的口感爽脆，帶有淡淡的甜味，烹煮後可保持嫩綠色澤。常見用途包括烤、炒、煮湯等烹調方式。,
Plant-based 植物性,Celery,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/celery_en.mp3,Céleri,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/celery_fr.mp3,Sedano,Celery_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/celery.jpg,芹菜,芹菜口感清脆多汁，帶有微苦的風味，常見用途包括炒菜、涼拌、湯品或醃製。,
Plant-based 植物性,Carrot,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/carrot_en.mp3,Carotte,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/carrot_fr.mp3,Carota,Carrot_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/carrot.jpg,紅蘿蔔,紅蘿蔔口感爽脆，帶有淡淡的甜味，常見用途包括生食、炒菜、燉湯等，是廚房中常見的食材之一。,
Plant-based 植物性,Parsnip,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/parsnip_en.mp3,Panais,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/parsnip_fr.mp3,Pastinaca,Parsnip_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/parsnip.jpg,歐洲防風草,歐洲防風草口感脆爽，帶有淡淡的草本風味，常用於製作沙拉、湯品或燉飯，增添清新的香氣。,
Plant-based 植物性,Cauliflower,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cauliflower_en.mp3,Chou-fleur,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cauliflower_fr.mp3,Cavolfiore,Cauliflower_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/cauliflower.jpg,白花椰菜,白花椰菜擁有脆嫩的質地和淡淡的甜味，適合炒、煮或沙拉食用，是健康美味的蔬菜選擇。,
Plant-based 植物性,Peas,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/peas_en.mp3,Petits pois,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/peas_fr.mp3,Piselli,Peas_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/peas.jpg,青豆,青豆口感鮮甜爽脆，風味清新可口。常見用途包括炒菜、煮湯或製成青豆湯。,
Plant-based 植物性,Green beans,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/green beans_en.mp3,Haricots verts,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/green beans_fr.mp3,Fagiolini,Green beans_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/green beans.jpg,四季豆,四季豆口感脆嫩，風味清甜，常見用途包括炒菜、燉湯或涼拌沙拉中，是受歡迎的蔬菜之一。,
Plant-based 植物性,Radish,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/radish_en.mp3,Radis,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/radish_fr.mp3,Ravanello,Radish_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/radish.jpg,蘿蔔,蘿蔔口感清脆多汁，風味淡雅微甜，常見用途包括涼拌、炒菜和燉湯等料理中。,
Plant-based 植物性,Beetroot,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/beetroot_en.mp3,Betterave,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/beetroot_fr.mp3,Barbabietola,Beetroot_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/beetroot.jpg,甜菜,甜菜口感綿密帶甜味，風味獨特且清甜，常見用途包括製作沙拉、烤箱烹調或煮湯。,
Plant-based 植物性,Pumpkin,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pumpkin_en.mp3,Citrouille,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/pumpkin_fr.mp3,Zucca,Pumpkin_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/pumpkin.jpg,南瓜,南瓜口感綿密軟糯，風味淡雅甜美，常見用途包括烹調湯品、燉煮料理和製作甜點。,
Plant-based 植物性,Bell pepper,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/bell pepper_en.mp3,Poivron,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/bell pepper_fr.mp3,Peperone,Bell pepper_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/bell pepper.jpg,甜椒,甜椒口感脆甜，風味清爽，常用於炒菜、沙拉或燉煮料理中，增添色彩和口感。,
Plant-based 植物性,Eggplant,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/eggplant_en.mp3,Aubergine,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/eggplant_fr.mp3,Melanzana,Eggplant_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/eggplant.jpg,茄子,茄子口感綿密軟滑，風味淡雅清甜，常見於燉湯、烤焗或涼拌等料理中。,
Plant-based 植物性,Kale,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/kale_en.mp3,Chou frisé,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/kale_fr.mp3,Cavolo riccio,Kale_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/kale.jpg,羽衣甘藍,羽衣甘藍的葉片較軟嫩，口感清脆，帶有微苦味，適合生食或炒熟食用，富含營養，是健康飲食的首選。,
Plant-based 植物性,Watercress,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/watercress_en.mp3,Cresson,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/watercress_fr.mp3,Crescione,Watercress_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/watercress.jpg,西洋菜,西洋菜口感爽脆，帶有微苦味和清香，常用於涼拌、炒菜或湯品中，營養豐富且容易消化。,
Plant-based 植物性,Corn,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/corn_en.mp3,Maïs,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/corn_fr.mp3,Mais,Corn_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/corn.jpg,玉米,玉米的口感甜脆多汁，風味帶有微甜的香氣，常見用途包括烤玉米、玉米濃湯和玉米鬆餅。,
Plant-based 植物性,Onion,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/onion_en.mp3,Oignon,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/onion_fr.mp3,Cipolla,Onion_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/onion.jpg,洋蔥,洋蔥的口感爽脆，風味獨特，常見用途包括炒菜、燉湯、製作醬料等，是廚房不可或缺的調味食材之一。,
Plant-based 植物性,Ginger,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/ginger_en.mp3,Gingembre,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/ginger_fr.mp3,Zenzero,Ginger_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/ginger.jpg,薑,薑具有獨特辛辣口感，帶有微微的甜味，常用於烹飪中增添香氣，也可用來調味湯品或製作薑汁，有助於消化。,
Plant-based 植物性,Cucumber,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cucumber_en.mp3,Concombre,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/cucumber_fr.mp3,Cetriolo,Cucumber_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/cucumber.jpg,黃瓜,黃瓜口感清脆多水分，風味清爽甘甜，常見用途包括沙拉、涼拌、醃製或生吃，是夏日消暑的最佳食材之一。,
Plant-based 植物性,Arugula,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/arugula_en.mp3,Roquette,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/arugula_fr.mp3,Rucola,Arugula_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/arugula.jpg,芝麻葉,芝麻葉葉片細嫩，具有清爽的口感，帶有微苦的風味，常用於涼拌或炒菜中，增添營養價值。,
Plant-based 植物性,Dandelion greens,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/dandelion greens_en.mp3,Pissenlit,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/dandelion greens_fr.mp3,Tarassaco,Dandelion greens_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/dandelion greens.jpg,蒲公英葉,蒲公英葉帶有微苦味，口感清脆爽口，常見用途為製作沙拉或炒菜料理中的配菜。,
Plant-based 植物性,Parsley,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/parsley_en.mp3,Persil,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/parsley_fr.mp3,Prezzemolo,Parsley_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/parsley.jpg,巴西里,巴西里具有濃郁的香味，口感清新，常見用途為調味料或裝飾料，可增添菜餚的風味。,
Plant-based 植物性,Mint,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mint_en.mp3,Menthe,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mint_fr.mp3,Menta,Mint_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/mint.jpg,薄荷,薄荷口感清涼，風味清新脆爽，常見用途為製作茶飲、沙拉或醬料，可提升料理的清爽口感。,
Plant-based 植物性,Savoy cabbage,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/savoy cabbage_en.mp3,Chou de Savoie,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/savoy cabbage_fr.mp3,Cavolo verza,Savoy cabbage_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/savoy cabbage.jpg,皺葉甘藍,皺葉甘藍的口感爽脆多汁，帶有微苦味，適合生食或炒熟食用，口感獨特風味鮮美。,
Plant-based 植物性,Lentil sprouts,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lentil sprouts_en.mp3,Germes de lentilles,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lentil sprouts_fr.mp3,Germogli di lenticchie,Lentil sprouts_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/lentil sprouts.jpg,扁豆芽,扁豆芽爽脆多汁，帶有淡淡的豆香味，常用於涼拌、炒菜或煮湯中，是健康美味的蔬菜選擇。,
Plant-based 植物性,Snow peas,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/snow peas_en.mp3,Pois mange-tout,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/snow peas_fr.mp3,Taccole,Snow peas_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/snow peas.jpg,荷蘭豆,荷蘭豆的口感脆嫩，風味清甜，適合炒菜或涼拌，是烹飪中不可或缺的食材之一。,
Plant-based 植物性,Okra,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/okra_en.mp3,Gombo,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/okra_fr.mp3,Gombo,Okra_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/okra.jpg,秋葵,秋葵口感爽脆，風味清甜，常見用途包括炒菜、沙拉或燉湯中，是一道營養豐富的蔬菜。,
Plant-based 植物性,Sweet potato,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sweet potato_en.mp3,Patate douce,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sweet potato_fr.mp3,Patata dolce,Sweet potato_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/sweet potato.jpg,地瓜,地瓜口感綿密軟甜，風味濃郁，常見用途烤、炸、蒸或煮食，適合製作甜點或料理，營養豐富。,
Plant-based 植物性,Jerusalem artichoke,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/jerusalem artichoke_en.mp3,Topinambour,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/jerusalem artichoke_fr.mp3,Topinambur,Jerusalem artichoke_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/jerusalem artichoke.jpg,菊芋,菊芋口感細緻脆脆，風味清甜可口，常見用途包括烹煮、烘焙或製成甜點，是健康又美味的食材。,
Plant-based 植物性,Turnip,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/turnip_en.mp3,Navet,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/turnip_fr.mp3,Rapa,Turnip_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/turnip.jpg,蕪菁,蕪菁口感清脆，風味微甜，常見用途包括炒菜、湯品或製成泡菜。,
Plant-based 植物性,Kohlrabi,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/kohlrabi_en.mp3,Chou-rave,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/kohlrabi_fr.mp3,Cavolo rapa,Kohlrabi_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/kohlrabi.jpg,德國芥菜頭,德國芥菜頭口感爽脆，風味辛辣濃烈，常見用途是作為德式香腸、漢堡或三明治的佐料，提升食物的風味。,
Plant-based 植物性,Swiss chard,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/swiss chard_en.mp3,Blette,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/swiss chard_fr.mp3,Bietola,Swiss chard_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/swiss chard.jpg,瑞士甜菜,瑞士甜菜質地軟嫩，帶有微甜的風味，適合用來製作沙拉或湯品，也常用於烤箱烹調。,
Plant-based 植物性,Sorrel,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sorrel_en.mp3,Oseille,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/sorrel_fr.mp3,Acetosa,Sorrel_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/sorrel.jpg,酢漿草,酢漿草口感清爽，帶有微酸味，常見用途包括製作沙拉、果汁或烹飪海鮮料理，為料理增添一絲清新風味。,
Plant-based 植物性,Water spinach,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/water spinach_en.mp3,Liseron d’eau,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/water spinach_fr.mp3,Spinacio d’acqua,Water spinach_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/water spinach.jpg,空心菜,空心菜口感脆嫩多汁，帶有微苦味，常用於炒菜或湯品中，是一種營養豐富的蔬菜。,
Plant-based 植物性,Mustard greens,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mustard greens_en.mp3,Feuilles de moutarde,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/mustard greens_fr.mp3,Senape,Mustard greens_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/mustard greens.jpg,芥菜,芥菜具有辛辣的味道，口感稍微苦澀。常用於炒菜、湯品或拌飯中，為料理增添獨特風味。,
Plant-based 植物性,Lotus root,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lotus root_en.mp3,Racine de lotus,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/lotus root_fr.mp3,Radice di loto,Lotus root_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/lotus root.jpg,蓮藕,蓮藕口感爽脆，風味清甜，常見用途有炒菜、湯品或泡茶等，營養豐富，是廣受喜愛的食材之一。,
Plant-based 植物性,Bamboo shoot,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/bamboo shoot_en.mp3,Pousse de bambou,https://raw.githubusercontent.com/cheyuan1115/finedining/main/audio/bamboo shoot_fr.mp3,Germoglio di bambù,Bamboo shoot_it.mp3,https://raw.githubusercontent.com/cheyuan1115/finedining/main/images/bamboo shoot.jpg,竹筍,竹筍清脆爽口，帶有淡淡的甜味，適合炒、燉或煮湯等烹調方式，是春季常見的時令蔬菜之一。,
